org_id,label,classification
6904,HS,Organization
6905,REPER,Organization
6906,PUSL,Organization
6907,Zentrum,Organization
6908,insieme,Organization
6909,GS,Organization
6910,A-IV-RE,Organization
6911,BD,Organization
6912,Vooruit,Organization
6913,AZ,Organization
6914,PNCR,Organization
6915,AUR,Organization
6916,New Left,Organization
6917,FOLKLISTAN,Organization
6918,Independent,Organization
6919,Hor,Organization
6920,LEE,Organization
6921,MK,Organization
6922,DVD,Organization
6923,IV - Centro,Organization
6924,ELAM,Organization
6925,MKKP,Organization
6926,Ahora Repúblicas,Organization
6927,Chega,Organization
6928,Zdravý rozum,Organization
6929,ADU,Organization
6930,LPV,Organization
6931,ITN,Organization
6932,PP-DB,Organization
6933,Progresīvie,Organization
6934,JUNTS UE,Organization
6935,Ren,Organization
6936,JK,Organization
6937,SD,Organization
6938,EK,Organization
6939,DC,Organization
6940,SP,Organization
6941,Independent,Organization
6942,KOSMOS,Organization
6943,FOKUS,Organization
6944,AVS,Organization
6945,VOLT,Organization
6946,IC,Organization
6947,KLJUC,Organization
6948,M,Organization
6949,SMR,Organization
6950,Independent,Organization
6951,ANS,Organization
6952,KD,Organization
6953,Les Écologistes,Organization
6954,Most,Organization
6955,Levica,Organization
6956,CJ01,Organization
6957,CJ02,Organization
6958,CJ03,Organization
6959,CJ04,Organization
6960,CJ05,Organization
6961,CJ06,Organization
6962,CJ07,Organization
6963,CJ08,Organization
6964,CJ09,Organization
6966,CJ11,Organization
6967,CJ12,Organization
6968,CJ13,Organization
6970,CJ15,Organization
6971,CJ16,Organization
6972,CJ17,Organization
6973,CJ18,Organization
6974,CJ19,Organization
6975,CJ20,Organization
6976,CJ21,Organization
6977,CJ22,Organization
6978,CJ23,Organization
6979,CJ24,Organization
6980,CJ25,Organization
6982,CJ27,Organization
6983,CJ28,Organization
6984,CJ29,Organization
6985,CJ30,Organization
6986,CJ31,Organization
6987,CJ32,Organization
6988,CJ33,Organization
1,ECON,COMMITTEE_PARLIAMENTARY_STANDING
10,REGI,COMMITTEE_PARLIAMENTARY_STANDING
100,REGI,COMMITTEE_PARLIAMENTARY_STANDING
101,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
102,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
103,JEUN,COMMITTEE_PARLIAMENTARY_STANDING
1038,C01,COMMITTEE_PARLIAMENTARY_STANDING
1039,C02,COMMITTEE_PARLIAMENTARY_STANDING
104,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
1040,C03,COMMITTEE_PARLIAMENTARY_STANDING
1041,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
1042,C05,COMMITTEE_PARLIAMENTARY_STANDING
1043,C06,COMMITTEE_PARLIAMENTARY_STANDING
1044,C07,COMMITTEE_PARLIAMENTARY_STANDING
1045,C08,COMMITTEE_PARLIAMENTARY_STANDING
1046,C09,COMMITTEE_PARLIAMENTARY_STANDING
